   1,          ,00,05,09.9,+,45,13,45,  A1Vn              , ,     ,-018,,
   2,          ,00,05,03.8,-,00,30,11, gG9                , ,     ,+014,,
   3, 33    Psc,00,05,20.1,-,05,42,27,  K0IIIbCN-0.5      , ,+.014,-006,*,
   4, 86    Peg,00,05,42.0,+,13,23,46,  G5III             , ,     ,-002,,
   5,          ,00,06,16.0,+,58,26,12,  G5V               , ,+.047,-012,*,
   6,          ,00,06,19.0,-,49,04,30,  G1IV              , ,+.050,+003,*,
   7, 10    Cas,00,06,26.5,+,64,11,46,  B9III             , ,     ,-000,*,
   8,          ,00,06,36.8,+,29,01,17,  K0V               , ,+.067,-008,*,
   9,          ,00,06,50.1,-,23,06,27,  A7V               , ,     ,+003,,
  10,          ,00,07,18.2,-,17,23,11,  A6Vn              , ,     ,-009,*,
  11,          ,00,07,44.1,-,02,32,56,  B8IIIpSi          , ,     ,+013,*,
  12,          ,00,07,46.8,-,22,30,32,  A2Vp:             , ,     ,-013,*,
  13,          ,00,08,03.5,-,33,31,46,  K1III             , ,     ,+007,,
  14,          ,00,08,12.1,-,02,26,52,  K2III+F           , ,     ,+001,*,
  15, 21Alp And,00,08,23.3,+,29,05,26,  B8IVpMnHg         , ,+.032,-012,*,
  16,          ,00,08,17.4,-,08,49,26, gG8                , ,     ,+020,,
  17,          ,00,08,41.0,+,36,37,36,  F8IV              , ,+.044,-014,,
  18,          ,00,08,33.4,-,17,34,39,  M0III             , ,     ,-017,*,
  19,          ,00,08,52.2,+,25,27,46,  K0III             , ,     ,+015,,
  20,          ,00,09,20.2,+,79,42,53,  A7IV              , ,+.002,+001,*,
  21, 11Bet Cas,00,09,10.7,+,59,08,59,  F2III-IV          , ,+.072,+012,*,
  22, 87    Peg,00,09,02.4,+,18,12,43,  G9III             , ,     ,-023,,
  23,          ,00,09,02.4,-,54,00,07,  G4IV              ,D,+.009,+001,*,
  24,   Kap1Scl,00,09,21.0,-,27,59,16,  F2V               , ,+.023,+009,*,
  25,   Eps Phe,00,09,24.7,-,45,44,51,  K0III             , ,+.066,-009,,
  26, 34    Psc,00,10,02.3,+,11,08,44,  B9Vn              ,D,+.017,+014,*,
  27, 22    And,00,10,19.3,+,46,04,20,  F2II              , ,-.002,-005,*,
  28,          ,00,10,29.7,+,57,09,56,  B7IV              , ,     ,+002,,
  29,          ,00,10,18.8,-,05,14,55,  K1III             , ,     ,+024,*,
  30,   Gam3Oct,00,10,02.1,-,82,13,26,  G8III             , ,     ,+015,,
  31,          ,00,10,42.8,-,12,34,48,  K0IV              , ,     ,+006,,
  32,          ,00,10,38.6,-,73,13,28,  F2V+F6V           , ,     ,-014,*,
  33,  6    Cet,00,11,15.9,-,15,28,05,  F7V               , ,+.067,+014,,
  34,   Kap2Scl,00,11,34.4,-,27,47,59,  K5III             , ,     ,-006,,
  35,   The Scl,00,11,44.0,-,35,07,59,  F4V               , ,+.034,-002,,
  36,          ,00,11,59.1,+,48,09,09, gK4                , ,     ,+016,,
  37,          ,00,12,10.0,-,17,56,18,  K5III             , ,-.015,-008,,
  38,          ,00,12,50.4,+,37,41,36,  B2V               , ,     ,-010,*,
  39, 88Gam Peg,00,13,14.2,+,15,11,01,  B2IV              , ,-.002,+004,*,
  40,          ,00,13,24.0,+,26,59,14,  G0III             ,D,+.006,-013,*,
  41, 23    And,00,13,30.8,+,41,02,07,  F0IV              , ,+.024,-029,,
  42,          ,00,13,42.1,-,26,01,19,  K5III             , ,     ,-030,,
  43,          ,00,13,44.2,-,26,17,05,  K5III             , ,     ,+018,,
